no,id1,id2,Date,Pref,Location,LandUse,Crop,Farmer,Collector,Field name in KSAS,x,y,x_53n,y_53n,dsm_AW3D30,AcquisitionDate_S2,B2,B3,B4,B8,B11,B12,AcquisitionId_S1,type,VV,VH,Layer,pH1,pH2,EC,Y1,Humus,CS,FS,Sand,Silt,Clay,TC,TN,CEC,CaO,MgO,K2O,Na2O,BaseSaturation,PAcidAbsCoef,AvailP1,AvailP2,AvailSi1,AvailSi2,HotAvailN,AvailN,UplandAvailN,NH4,NO3,InorgN,FreeIron,WaterExB,Mn,SoilTypeName3,SoilTypeNum,SoilTypeName2,SoilTaxon
607,G30097,D014-20,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D014,136.660922,35.18634107,651224.663,3894971.158,-1,20191013,0.0308,0.0457,0.0511,0.1482,0.0985,0.0567,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-10.95447988,-18.14775076,,6.5,,3.52,,,32.07668529,29.47506864,61.55175393,24.09615422,14.35209185,0.953663814,0.088538684,8.234472222,141.7325504,29.35148653,8.191660507,,,,139.8,,,,,-0.172728889,,1.363957778,1.44326,2.807217778,,,,,,,
608,G30098,D014-21,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D014,136.6612492,35.18637226,651254.401,3894975.115,-1,20191013,0.0299,0.05,0.0549,0.1582,0.1126,0.0648,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.765761656,-17.38534264,,6.52,,3.31,,,30.68966833,30.33281172,61.02248006,24.85592153,14.12159841,0.982447634,0.090487144,8.630972222,135.0866509,28.60526229,13.25121553,,,,116.21,,,,,0.012125556,,1.071217778,1.64136,2.712577778,,,,,,,
609,G30099,D014-22,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D014,136.6615765,35.18640344,651284.139,3894979.072,0,20191013,0.0362,0.0531,0.0588,0.176,0.1458,0.0904,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-10.3615555,-23.67844224,,6.55,,2.39,,,35.01195816,28.39318817,63.40514633,23.43607427,13.1587794,0.876677107,0.082170499,8.000638889,116.7579598,24.04500309,13.37168112,,,,137.08,,,,,3.158202222,,1.128617778,1.41496,2.543577778,,,,,,,
610,G30100,D014-23,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D014,136.6619037,35.18643463,651313.877,3894983.029,-1,20191013,0.0321,0.0494,0.0543,0.1644,0.1016,0.0579,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.07462317,-19.49876387,,6.61,,2.43,,,29.19545738,32.4222531,61.61771048,24.15065408,14.23163544,0.933835378,0.08737566,8.742805556,127.9510536,27.02990002,13.55237952,,,,137.99,,,,,3.089621111,,1.332387778,1.34421,2.676597778,,,,,,,
611,G30101,D014-24,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D014,136.6622309,35.18646581,651343.615,3894986.986,-2,20191013,0.0355,0.0552,0.0612,0.1735,0.1226,0.07,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-10.81084756,-22.0482215,,6.37,,2.45,,,38.14460472,27.98988971,66.13449444,20.88208288,12.98342269,0.825955294,0.079088554,7.105972222,107.3137869,20.14805431,10.84190361,,,,106.23,,,,,2.02713,,1.200367778,1.44326,2.643627778,,,,,,,
612,G30102,D014-25,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D014,136.6625581,35.18649699,651373.353,3894990.942,-2,20191013,0.0356,0.0551,0.0631,0.1636,0.1273,0.0726,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-12.37636964,-18.94977299,,6.62,,2.47,,,47.89116707,23.65323146,71.54439853,16.85896936,11.5966321,0.777381602,0.073008908,6.465472222,107.1738733,22.0550718,7.468866933,,,,153.41,,,,,2.415278889,,0.919107778,1.40081,2.319917778,,,,,,,
613,G30103,D014-26,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D014,136.6628853,35.18652817,651403.091,3894994.899,-2,20191013,0.0365,0.0546,0.0586,0.1694,0.1353,0.0786,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.44555318,-20.68122811,,6.53,,2.79,,,39.81630976,27.16778653,66.98409629,20.15758689,12.85831682,0.846054856,0.077814273,6.780638889,109.2026215,22.38672701,11.68516278,,,,132.54,,,,,-0.662555556,,1.326647778,1.42911,2.755757778,,,,,,,
614,G30104,D014-27,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D014,136.6632126,35.18655935,651432.829,3894998.856,-1,20191013,0.0421,0.0642,0.0718,0.191,0.1555,0.0956,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-13.30088094,-13.58724844,,6.6,,2.66,,,37.19739114,28.08171878,65.27910992,21.91636294,12.80452714,0.818363274,0.077825862,7.268638889,114.9390821,23.71334787,11.1430676,,,,138.9,,,,,1.898855556,,1.085567778,1.71211,2.797677778,,,,,,,
615,G30105,D015-1,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6606302,35.18612777,651198.483,3894947.056,0,20191013,0.0498,0.0728,0.0816,0.202,0.1446,0.0976,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.84944511,-12.96564592,,6.6,,2.27,,,47.81012968,20.57744067,68.38757034,18.98703205,12.6253976,0.885237027,0.082543882,6.587472222,79.96066392,10.28131166,13.49214672,,,,82.64,,,,,3.460034444,,1.277857778,1.41496,2.692817778,,,,,,,
616,G30106,D015-2,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6609574,35.18615896,651228.221,3894951.013,-1,20191013,0.0426,0.0661,0.0657,0.2018,0.1497,0.0909,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.70772245,-17.32200286,,6.49,,3.43,,,33.33526766,26.23724551,59.57251318,25.53314957,14.89433725,1.079737625,0.099700541,8.325972222,113.679859,22.80129603,13.79331071,,,,110.77,,,,,3.498081111,,1.650957778,1.42911,3.080067778,,,,,,,
617,G30107,D015-3,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6612846,35.18619015,651257.959,3894954.97,-1,20191013,0.0411,0.0671,0.0709,0.2003,0.1815,0.1171,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-12.77231247,-20.29173641,,6.55,,2.81,,,39.91619868,25.11808809,65.03428677,21.38679547,13.57891776,0.993379664,0.090045169,6.933138889,92.34302395,19.40183008,12.52842195,,,,78.1,,,,,3.236082222,,1.223327778,1.35836,2.581687778,,,,,,,
618,G30108,D015-4,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6616118,35.18622133,651287.697,3894958.927,-1,20191013,0.0505,0.0742,0.0852,0.2174,0.225,0.1537,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.14235658,-12.9281385,,6.51,,3.25,,,29.96961195,29.98223318,59.95184513,25.33955981,14.70859506,1.168362573,0.105317365,8.132805556,105.7047797,22.46964081,8.010962113,,,,140.71,,,,,3.955765556,,1.473017778,1.47156,2.944577778,,,,,,,
619,G30109,D015-5,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.661939,35.18625252,651317.435,3894962.884,-1,20191013,0.0493,0.0758,0.0763,0.2185,0.1651,0.1031,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-10.50557126,-16.43373903,,6.57,,2.6,,,37.07106909,25.61194144,62.68301052,24.59203904,12.72495043,1.040905545,0.093982714,7.776972222,94.30181537,19.15308866,6.083512582,,,,111.67,,,,,2.882808889,,1.263507778,1.40081,2.664317778,,,,,,,
620,G30110,D015-6,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6622663,35.1862837,651347.173,3894966.841,-3,20191013,0.0558,0.0794,0.0882,0.2209,0.1836,0.1181,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-10.12760089,-16.85871948,,6.59,,1.96,,,59.49666173,16.09133423,75.58799596,15.29426759,9.117736448,0.735779239,0.069305464,5.306472222,47.29082136,10.03257025,7.709798124,,,,61.77,,,,,1.968603333,,1.470147778,1.38666,2.856807778,,,,,,,
621,G30111,D015-7,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6606682,35.18585914,651202.44,3894917.318,1,20191013,0.0418,0.0613,0.0756,0.1759,0.1332,0.0774,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-10.66154027,-15.74523967,,6.56,,2.96,,,40.63396665,25.43815432,66.07212098,21.47150058,12.45637844,0.910470834,0.08475887,7.146638889,123.6137298,21.14301995,12.46818915,,,,144.34,,,,,2.564184444,,1.715793333,1.20271,2.918503333,,,,,,,
622,G30112,D015-8,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6609954,35.18589033,651232.178,3894921.275,2,20191013,0.0499,0.0664,0.0819,0.1969,0.1739,0.1072,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-12.00481617,-18.37665849,,6.5,,3.11,,,35.59485748,25.18907746,60.78393494,26.27283177,12.9432333,1.070912204,0.099764128,7.929472222,109.0627078,20.06514051,11.50446439,,,,137.08,,,,,4.369602222,,1.504673333,1.24516,2.749833333,,,,,,,
623,G30113,D015-9,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6613226,35.18592151,651261.916,3894925.232,1,20191013,0.0573,0.0797,0.0969,0.2176,0.2398,0.1664,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-13.68934688,-18.22223209,,6.55,,2.63,,,51.79081906,20.15903215,71.94985121,17.95209522,10.09805356,0.864725828,0.078755985,6.201138889,82.82889421,17.49481259,8.613290092,,,,108.04,,,,,2.594248889,,1.915184444,1.23101,3.146194444,,,,,,,
624,G30114,D015-10,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6616498,35.1859527,651291.654,3894929.189,1,20191013,0.0579,0.0811,0.0951,0.2184,0.2454,0.1679,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-14.77597585,-16.45576391,,6.51,,3.07,,,38.93710891,24.82578313,63.76289205,24.17409191,12.06301604,1.126303497,0.097420375,6.983972222,97.37991617,19.73348529,12.28749076,,,,89.9,,,,,3.218441111,,2.211338889,1.31591,3.527248889,,,,,,,
625,G30115,D015-11,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.661977,35.18598388,651321.392,3894933.146,-1,20191013,0.0582,0.0782,0.096,0.2092,0.2475,0.1731,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-10.60083317,-15.02348388,,6.55,,2.61,,,58.34314274,15.99158642,74.33472916,17.07801856,8.587252272,0.740711872,0.068980731,5.235305556,69.3272248,11.44210492,5.902814189,,,,69.93,,,,,1.539884444,,1.542792222,1.18856,2.731352222,,,,,,,
626,G30116,D015-12,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6623042,35.18601507,651351.13,3894937.103,-2,20191013,0.046,0.0696,0.0824,0.1858,0.185,0.1201,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.91952652,-22.62552111,,6.52,,2.69,,,40.58094205,23.61090756,64.19184962,23.20446307,12.60368731,1.005599309,0.09154712,6.587472222,63.24098004,13.1832948,7.709798124,,,,69.03,,,,,3.723576667,,1.560385556,1.21686,2.777245556,,,,,,,
627,G30117,D015-13,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6606993,35.18559399,651205.77,3894887.957,-1,20191013,0.0522,0.0761,0.0886,0.1904,0.1504,0.0949,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-12.24725053,-16.72260133,,6.53,,2.74,,,50.81434173,19.29087238,70.10521412,19.31513763,10.57964825,0.874734445,0.08027686,6.577305556,98.28935504,10.53005308,9.51678206,,,,112.58,,,,,2.151334444,,1.665945556,1.18856,2.854505556,,,,,,,
628,G30118,D015-14,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6610265,35.18562518,651235.508,3894891.914,0,20191013,0.0493,0.0667,0.0821,0.191,0.1528,0.0935,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-10.73165387,-18.24755913,,6.55,,2.78,,,45.11145251,20.92621042,66.03766293,22.51272984,11.44960723,0.902388357,0.083528804,7.197472222,101.4374127,15.09031228,6.264210976,,,,107.14,,,,,3.930131111,,1.237841111,1.21686,2.454701111,,,,,,,
629,G30119,D015-15,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6613538,35.18565637,651265.246,3894895.871,-2,20191013,0.0521,0.0686,0.0855,0.1954,0.1714,0.1108,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-13.39533906,-16.79570758,,6.55,,2.83,,,29.25460653,29.7769062,59.03151273,27.57120944,13.39727783,0.993996688,0.089479785,7.604138889,116.6180462,19.73348529,9.155385273,,,,97.16,,,,,3.198423333,,1.352197778,1.20271,2.554907778,,,,,,,
630,G30120,D015-16,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.661681,35.18568755,651294.984,3894899.828,-1,20191013,0.0471,0.0706,0.0795,0.1869,0.1709,0.1111,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-13.49893686,-14.92598862,,6.49,,2.93,,,33.18094577,35.71463017,68.89557594,20.10937184,10.99505223,0.949585946,0.085525611,6.282472222,84.22803094,13.51495001,6.203978178,,,,86.27,,,,,3.620598889,,1.985557778,1.21686,3.202417778,,,,,,,
631,G30121,D015-17,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6620082,35.18571874,651324.722,3894903.785,-2,20191013,0.0646,0.0872,0.1098,0.2119,0.2238,0.1544,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.968448666,-24.12953818,,6.58,,2.96,,,67.93636255,14.14320417,82.07956672,9.308669507,8.611763769,0.710954268,0.069308614,4.333055556,53.58693663,4.311517795,8.071194911,,,,57.23,,,,,4.20693,,0.521461111,0.89824,1.419701111,,,,,,,
632,G30122,D015-18,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,D015,136.6623354,35.18574992,651354.46,3894907.742,-2,20191013,0.0475,0.0675,0.0841,0.1814,0.1667,0.1082,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-5.311146808,-18.07224771,,6.39,,3.44,,,56.20312234,19.31284485,75.51596719,13.31851273,11.16552007,0.850713976,0.077216226,5.782222222,59.1135267,6.881845711,6.083512582,,,,62.68,,,,,5.466003333,,0.757314444,0.97248,1.729794444,,,,,,,
633,G30123,E015-1,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6673755,35.19325784,651799.426,3895748.173,-1,20191013,0.0432,0.0625,0.0562,0.2185,0.1623,0.1101,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-12.65258729,-18.75237748,,6.84,,3.13,,,46.89503553,22.12178537,69.0168209,20.4509433,10.5322358,0.963001516,0.090142388,5.822694444,91.29367141,21.55758897,10.66120522,,,,71.75,,,,,6.13737,,0.723465556,1.10196,1.825425556,,,,,,,
634,G30124,E015-2,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6677035,35.19328247,651829.251,3895751.406,-1,20191013,0.0418,0.0623,0.0628,0.2241,0.1398,0.0814,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-12.34571059,-14.40711015,,6.97,,2.71,,,45.30504405,28.77650864,74.0815527,17.02781712,8.89063018,0.862307628,0.08251169,5.832972222,81.98941218,17.49481259,9.697480453,,,,58.14,,,,,2.618683333,,0.664992222,1.17128,1.836272222,,,,,,,
635,G30125,E015-3,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6680316,35.1933071,651859.076,3895754.639,-1,20191013,0.0422,0.0644,0.0657,0.2028,0.1456,0.0851,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-13.77362355,-18.20886052,,6.97,,2.3,,,44.64737065,26.19223242,70.83960306,19.42387317,9.736523766,0.879885002,0.081378541,7.014916667,77.23234731,15.5877951,11.38399879,,,,79.01,,,,,3.332235556,,0.50071,1.11929,1.62,,,,,,,
636,G30126,E015-4,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6683597,35.19333171,651888.902,3895757.871,-2,20191013,0.0357,0.0584,0.0621,0.1858,0.1385,0.0785,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-13.11690799,-14.86913034,,6.73,,3.01,,,43.46062123,26.60577694,70.06639817,20.2855814,9.648020424,0.891285786,0.08447066,6.871027778,101.1575853,20.47970952,8.071194911,,,,85.36,,,,,1.97997,,0.798645556,1.20594,2.004585556,,,,,,,
637,G30127,E015-5,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6686878,35.19335634,651918.727,3895761.104,-1,20191013,0.0483,0.0717,0.0717,0.2381,0.2137,0.1412,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.12755109,-19.86548214,,6.99,,2.83,,,39.60175908,29.98658165,69.58834073,20.42135574,9.990303529,0.874923116,0.081921405,6.408527778,101.6472832,19.23600247,8.372358901,,,,85.36,,,,,4.621072222,,0.960143333,1.4139,2.374043333,,,,,,,
638,G30128,E015-6,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6664212,35.19291463,651713.182,3895708.649,-2,20191013,0.0506,0.0715,0.0769,0.2032,0.1801,0.1175,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.474382714,-14.91933438,,6.73,,4.4,,,46.75289893,24.9769375,71.72983643,17.5076627,10.76250087,0.997196438,0.088864517,6.572972222,105.0052113,23.63043407,12.64888755,,,,88.08,,,,,1.271636667,,1.132778889,1.13662,2.269398889,,,,,,,
639,G30129,E015-7,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6667493,35.19293926,651743.008,3895711.882,-3,20191013,0.0344,0.0545,0.0527,0.1704,0.1131,0.0675,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.529473392,-15.46264856,,6.76,,3.45,,,44.63907415,25.6924284,70.33150255,19.76265202,9.90584543,0.925019503,0.090126174,6.95325,122.9841183,25.62036536,6.746073359,,,,95.34,,,,,2.253917778,,1.489187778,0.98065,2.469837778,,,,,,,
640,G30130,E015-8,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6670774,35.1929639,651772.833,3895715.115,-2,20191013,0.0305,0.053,0.0533,0.1549,0.1073,0.069,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-10.48717713,-17.82868505,,6.75,,3.78,,,36.75710151,31.1082765,67.86537801,21.43943482,10.69518717,1.021487514,0.097797689,7.107416667,126.7617874,26.78115861,9.21561807,,,,111.67,,,,,1.457906667,,0.731818889,1.01531,1.747128889,,,,,,,
641,G30131,E015-9,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6674054,35.19298853,651802.658,3895718.348,-1,20191013,0.0363,0.0575,0.0579,0.1663,0.1118,0.0695,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.670996908,-18.22905266,,6.74,,3.24,,,39.42466101,27.2852227,66.7098837,22.46960997,10.82050632,1.018694197,0.094278087,6.357138889,117.527485,24.54248591,9.095152475,,,,90.8,,,,,5.954518889,,1.795476667,1.03264,2.828116667,,,,,,,
642,G30132,E015-10,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6677335,35.19301315,651832.484,3895721.58,-2,20191013,0.0354,0.0558,0.0553,0.1637,0.1009,0.0584,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.684200829,-20.3469783,,6.79,,2.93,,,44.63600597,25.83249539,70.46850136,20.35476848,9.176730155,0.892029358,0.085440893,6.963527778,105.4249523,21.22593376,7.468866933,,,,90.8,,,,,1.843073333,,1.191252222,1.08463,2.275882222,,,,,,,
643,G30133,E015-11,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6680616,35.19303777,651862.309,3895724.813,-2,20191013,0.0375,0.058,0.0583,0.1744,0.1117,0.0614,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-10.07452923,-17.88483829,,6.78,,2.6,,,41.48741169,29.43216384,70.91957553,20.11354742,8.96687705,0.860120362,0.081856376,6.264638889,100.877758,19.31891627,11.0828348,,,,79.92,,,,,1.739787778,,0.862687778,1.03264,1.895327778,,,,,,,
644,G30134,E015-12,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6683897,35.1930624,651892.134,3895728.046,-2,20191013,0.0368,0.0555,0.0582,0.1724,0.1114,0.0639,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-12.33752064,-16.44362096,,6.77,,2.8,,,46.50287803,26.91567231,73.41855033,18.37247256,8.208977103,0.866165569,0.082423379,7.179361111,104.9352545,19.8993129,8.854221283,,,,96.25,,,,,2.613328889,,0.968496667,0.98065,1.949146667,,,,,,,
645,G30135,E015-13,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6687178,35.19308703,651921.96,3895731.279,-2,20191013,0.0362,0.0543,0.0532,0.1703,0.1112,0.0647,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.52639373,-15.59949831,,6.74,,3.05,,,38.91636691,30.34192211,69.25828902,21.45566156,9.286049421,1.021007073,0.090573466,6.819638889,106.3343912,21.55758897,9.577014857,,,,64.49,,,,,2.971131111,,0.829274444,1.08463,1.913904444,,,,,,,
646,G30136,E015-14,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E015,136.6690458,35.19311166,651951.785,3895734.512,-1,20191013,0.0399,0.0557,0.0625,0.1632,0.1398,0.0916,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.478787018,-16.18878375,,6.67,,3.92,,,38.46797091,31.38928863,69.85725954,20.32204115,9.820699312,0.871292495,0.082925835,5.946027778,108.2931826,20.89427854,7.468866933,,,,63.58,,,,,1.546798889,,1.569936667,1.13662,2.706556667,,,,,,,
647,G30137,E016-1,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E016,136.6661119,35.19267098,651685.472,3895681.152,-2,20191013,0.0643,0.0799,0.0842,0.2241,0.1798,0.1209,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.176805638,-16.40879474,,6.74,,2.6,,,47.86342281,25.18568337,73.04910619,17.54488567,9.406008149,0.894937165,0.081231601,5.781583333,91.29367141,18.90434725,7.468866933,,,,78.1,,,,,2.87379,,1.174545556,0.99798,2.172525556,,,,,,,
648,G30138,E016-2,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E016,136.66644,35.19269561,651715.297,3895684.385,-2,20191013,0.0458,0.0612,0.0647,0.1623,0.1596,0.1071,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-8.984775618,-16.96962271,,6.84,,2.07,,,49.41553954,23.5334189,72.94895844,17.62266759,9.428373976,0.801412935,0.075635795,7.148527778,98.00952769,19.48474388,8.131427709,,,,32.73,,,,,2.470287778,,0.587027778,1.10196,1.688987778,,,,,,,
649,G30139,E016-3,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E016,136.666768,35.19272024,651745.122,3895687.618,-2,20191013,0.038,0.058,0.0581,0.1622,0.1134,0.0718,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-9.319843159,-16.04038191,,6.72,,2.77,,,36.62649431,29.30799883,65.93449315,22.49975702,11.56574983,0.999284409,0.093163466,7.487694444,117.8772692,22.63546842,10.11911004,,,,68.12,,,,,4.748495556,,0.72625,1.04997,1.77622,,,,,,,
650,G30140,E016-4,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E016,136.6670961,35.19274488,651774.947,3895690.851,-3,20191013,0.0493,0.0639,0.0694,0.1505,0.1014,0.0646,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-7.373429009,-14.7686038,,6.64,,3,,,32.89003746,32.0237715,64.91380896,23.85860991,11.22758113,1.015736185,0.093520386,6.706583333,119.3463628,23.21586505,11.02260201,,,,69.03,,,,,3.41994,,1.199605556,1.32725,2.526855556,,,,,,,
651,G30141,E016-5,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E016,136.6674242,35.1927695,651804.773,3895694.083,-4,20191013,0.0439,0.0606,0.0641,0.1598,0.1084,0.068,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.68345093,-20.07217815,,6.72,,2.64,,,39.97157281,27.9253051,67.89687791,21.12434446,10.97877763,0.996201884,0.092125627,7.210194444,105.7747365,19.73348529,10.42027403,,,,78.1,,,,,5.365085556,,1.12721,1.0673,2.19451,,,,,,,
652,G30142,E016-6,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E016,136.6677523,35.19279413,651834.598,3895697.316,-2,20191013,0.0417,0.0634,0.0617,0.1649,0.1094,0.0668,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-15.19576,-16.69338986,,6.68,,2.98,,,41.24392691,28.61189244,69.85581935,20.21086174,9.933318909,0.901954239,0.082834146,7.78575,110.1120604,21.72341658,10.42027403,,,,72.66,,,,,2.408565556,,0.57589,1.0673,1.64319,,,,,,,
653,G30143,E016-7,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E016,136.6680803,35.19281876,651864.423,3895700.549,-2,20191013,0.05,0.071,0.0748,0.1706,0.1309,0.0833,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.80547364,-17.32783667,,6.67,,2.88,,,39.31427245,29.79801398,69.11228644,20.68688783,10.20082574,0.972620156,0.089399486,6.901861111,104.725384,20.39679572,10.60097242,,,,77.19,,,,,5.217722222,,0.784723333,1.15395,1.938673333,,,,,,,
654,G30144,E016-8,2019,岐阜,海津市海津町,水田,,福江営農,田中貴,E016,136.6684084,35.19284338,651894.249,3895703.782,-2,20191013,0.0426,0.0651,0.0651,0.1727,0.1252,0.0768,S1A_IW_GRDH_1SDV_20191016T205956_20191016T210021_029489_035AEF_DF02,Decending,-11.59328616,-14.15231686,,6.53,,3.53,,,45.88624417,25.32041817,71.20666234,19.2939972,9.49934046,0.849966773,0.078163968,6.495972222,137.7450107,15.5877951,18.25053775,,,,88.99,,,,,4.548764444,,1.579993333,0.95392,2.533913333,,,,,,,
